Campaign_ID,Platform,Objective,CTR_est,CPC_est,Historical_CPC,Historical_ConvRate,Historical_Budget,Best_Source_Score,Leads_Forward,Leads_Rejected,Qualification_Rate,Active_Leads,Suggested_Budget
23,Facebook,Traffic,0.028,1.87,1.35,0.045,233,0.7,13,8,0.64,29,128
24,Facebook,Awareness,0.041,2.07,2.29,0.056,488,0.91,7,2,0.33,35,195
25,Facebook,Traffic,0.017,1.38,1.65,0.033,445,0.54,19,1,0.46,42,205
26,Google,Awareness,0.019,0.75,1.07,0.055,83,0.7,2,4,0.95,15,65
27,Google,Traffic,0.021,1.09,0.95,0.042,393,0.86,3,6,0.46,9,154
28,Google,Conversions,0.026,2.72,2.77,0.052,432,0.81,19,6,0.66,36,208
29,Facebook,Traffic,0.012,1.81,0.75,0.074,278,0.74,11,4,0.45,23,138
30,Facebook,Awareness,0.036,2.41,2.9,0.066,201,0.73,16,6,0.91,40,134
31,TikTok,Awareness,0.01,0.85,0.95,0.079,260,0.67,0,8,0.32,38,96
32,Facebook,Conversions,0.039,2.83,2.56,0.052,169,0.8,6,4,0.31,33,91
33,TikTok,Traffic,0.03,1.62,2.9,0.026,159,0.8,0,9,0.67,11,76
34,TikTok,Conversions,0.046,1.03,2.36,0.055,60,0.78,0,3,0.31,27,44
35,Google,Traffic,0.022,1.6,2.27,0.119,217,0.71,16,9,0.34,8,124
36,TikTok,Conversions,0.036,2.51,2.39,0.1,353,0.67,7,5,0.94,14,157
37,Google,Traffic,0.032,1.24,2.94,0.035,60,0.65,17,3,0.67,46,90
38,Google,Awareness,0.022,2.93,2.42,0.102,286,0.68,8,5,0.55,27,132
39,Google,Conversions,0.017,0.92,1.78,0.081,192,0.89,10,1,0.54,45,119
40,Google,Traffic,0.042,1.28,2.94,0.088,116,0.79,5,0,0.79,46,86
41,Facebook,Awareness,0.041,1.8,2.84,0.047,446,0.92,6,0,0.95,42,195
42,TikTok,Conversions,0.013,1.87,1.16,0.04,54,0.71,5,8,0.39,46,49
43,Facebook,Awareness,0.016,1.58,1.34,0.063,358,0.84,0,8,0.9,20,142
44,TikTok,Awareness,0.027,1.31,2.85,0.058,69,0.81,15,1,0.74,22,96
45,Google,Conversions,0.05,2.33,2.41,0.099,278,0.91,14,7,0.22,10,143
46,Facebook,Conversions,0.049,0.51,1.9,0.106,460,0.93,14,0,0.44,47,209
47,TikTok,Awareness,0.018,2.51,1.15,0.029,203,0.89,17,1,0.33,30,135
48,Facebook,Conversions,0.017,2.01,2.51,0.046,324,0.93,6,7,0.67,14,146
49,Facebook,Awareness,0.024,1.37,1.34,0.071,169,0.84,4,2,0.53,27,94
50,Facebook,Awareness,0.021,2.42,1.5,0.078,388,0.93,9,9,0.4,32,165
51,Facebook,Conversions,0.02,2.91,2.94,0.109,159,0.77,15,0,0.33,25,114
52,Facebook,Awareness,0.023,2.31,0.5,0.078,415,0.6,15,6,0.44,36,182
53,Facebook,Traffic,0.029,1.23,1.05,0.117,390,0.9,8,3,0.72,45,175
54,TikTok,Traffic,0.029,2.0,2.43,0.037,303,0.91,18,7,0.45,28,165
55,TikTok,Conversions,0.016,0.57,2.78,0.104,70,0.52,9,9,0.36,16,57
56,Facebook,Traffic,0.019,2.87,0.87,0.042,165,0.62,7,3,0.93,31,101
57,TikTok,Traffic,0.021,1.0,0.68,0.066,454,0.56,17,9,0.46,24,195
58,Facebook,Traffic,0.025,1.39,1.06,0.03,298,0.75,6,2,0.76,39,140
59,TikTok,Traffic,0.041,2.65,2.82,0.112,477,0.6,17,0,0.28,7,209
60,TikTok,Conversions,0.05,2.55,1.55,0.057,245,0.89,1,6,0.82,48,113
61,TikTok,Conversions,0.045,0.96,1.01,0.119,201,0.76,16,0,0.4,29,131
62,Facebook,Awareness,0.045,1.71,2.29,0.102,302,0.54,13,8,0.28,41,136
63,Facebook,Awareness,0.042,2.24,2.75,0.038,259,0.62,3,0,0.55,44,114
64,Facebook,Conversions,0.05,1.34,1.93,0.046,379,0.92,15,8,0.41,19,179
65,TikTok,Awareness,0.045,0.64,2.13,0.117,424,0.5,5,8,0.46,14,155
66,Google,Traffic,0.034,1.04,2.73,0.044,277,0.8,10,9,0.42,31,131
67,TikTok,Awareness,0.034,2.18,1.96,0.089,158,0.62,2,2,0.52,8,79
68,Google,Conversions,0.02,1.62,1.29,0.089,481,0.87,13,2,0.36,11,208
69,TikTok,Traffic,0.027,1.85,1.66,0.105,205,0.69,18,5,0.21,35,126
70,TikTok,Conversions,0.031,2.51,2.53,0.049,212,0.82,10,3,0.69,8,123
71,TikTok,Awareness,0.046,2.91,2.66,0.044,382,0.85,17,3,0.95,27,198
72,TikTok,Awareness,0.011,1.46,2.51,0.106,421,0.89,16,4,0.44,46,197
73,Google,Traffic,0.014,0.57,1.15,0.106,205,0.52,10,3,0.89,12,116
74,TikTok,Conversions,0.033,2.89,2.88,0.054,318,0.93,3,5,0.46,18,135
75,Google,Awareness,0.036,1.09,1.12,0.098,145,0.67,7,4,0.77,40,92
76,Facebook,Awareness,0.018,2.24,0.62,0.059,228,0.84,0,5,0.76,12,103
77,Facebook,Awareness,0.045,1.74,1.68,0.105,265,0.84,10,7,0.47,32,132
78,Facebook,Awareness,0.037,2.59,2.01,0.065,419,0.88,12,1,0.46,7,190
79,Google,Awareness,0.015,1.47,0.55,0.039,359,0.78,3,4,0.43,34,143
80,TikTok,Awareness,0.047,2.16,2.26,0.087,149,0.61,9,8,0.78,44,93
81,TikTok,Traffic,0.014,0.92,2.6,0.054,344,0.8,3,6,0.36,19,135
82,Facebook,Traffic,0.01,2.87,1.41,0.092,370,0.56,4,1,0.31,20,143
83,Google,Traffic,0.027,2.74,0.8,0.116,365,0.75,15,7,0.96,27,181
84,Google,Awareness,0.015,2.36,0.95,0.103,472,0.57,14,0,0.21,39,197
85,Google,Awareness,0.029,2.46,2.93,0.042,132,0.68,15,5,0.53,14,103
86,TikTok,Conversions,0.019,2.11,1.36,0.113,129,0.54,19,9,0.92,5,111
87,TikTok,Awareness,0.048,0.72,2.5,0.034,121,0.54,8,2,0.53,35,81
88,Google,Awareness,0.026,2.99,1.7,0.05,308,0.92,7,7,0.58,39,142
89,Facebook,Conversions,0.013,2.51,1.08,0.065,310,0.91,17,3,0.26,40,165
90,Facebook,Traffic,0.04,2.71,1.53,0.109,426,0.56,1,1,0.56,20,157
91,Google,Traffic,0.011,2.27,2.2,0.031,262,0.56,18,2,0.95,13,157
92,Facebook,Awareness,0.034,2.15,0.94,0.079,87,0.52,8,1,0.56,7,71
93,Facebook,Conversions,0.027,1.46,0.84,0.048,324,0.69,9,7,0.62,37,145
94,TikTok,Conversions,0.028,0.86,1.58,0.052,312,0.59,9,5,0.54,24,139
95,Facebook,Traffic,0.012,0.71,2.58,0.07,180,0.6,15,9,0.9,44,118
96,Google,Conversions,0.016,1.13,1.21,0.047,420,0.65,17,6,0.68,39,195
97,Google,Awareness,0.018,2.48,2.46,0.109,430,0.69,1,8,0.53,22,154
98,Google,Awareness,0.026,1.84,2.24,0.032,312,0.52,15,4,0.42,25,151
99,TikTok,Awareness,0.013,0.55,0.92,0.032,163,0.72,2,9,0.53,30,77
100,Facebook,Traffic,0.029,1.11,0.82,0.04,65,0.57,9,8,0.45,37,60
101,Facebook,Conversions,0.016,2.78,0.62,0.118,295,0.8,16,4,0.59,31,160
102,Google,Conversions,0.026,2.25,1.49,0.104,246,0.87,11,6,0.55,45,132
103,Google,Awareness,0.026,1.24,1.6,0.041,351,0.68,13,7,0.21,23,155
104,Facebook,Conversions,0.044,2.95,2.71,0.027,455,0.94,11,9,0.47,11,192
105,Facebook,Traffic,0.015,0.83,0.77,0.08,224,0.86,7,4,0.83,35,123
106,TikTok,Conversions,0.026,2.12,1.18,0.045,335,0.53,2,5,0.67,18,129
107,Google,Awareness,0.039,0.72,2.57,0.086,269,0.79,18,2,0.87,31,164
108,TikTok,Awareness,0.041,2.7,0.82,0.056,409,0.56,15,8,0.39,23,176
109,Facebook,Conversions,0.024,2.22,1.3,0.034,181,0.9,8,6,0.7,8,109
110,Google,Awareness,0.043,1.2,2.6,0.059,71,0.53,16,6,0.94,5,90
111,TikTok,Awareness,0.044,2.08,2.97,0.093,140,0.79,10,8,0.83,23,99
112,TikTok,Traffic,0.024,2.21,2.04,0.04,463,0.91,19,3,0.58,5,222
113,Facebook,Traffic,0.046,1.06,0.69,0.021,111,0.53,7,2,0.56,9,75
114,Google,Awareness,0.018,2.89,2.22,0.115,389,0.52,13,8,0.54,35,167
115,TikTok,Conversions,0.047,1.74,2.28,0.026,449,0.63,5,7,0.48,46,168
116,Facebook,Conversions,0.013,2.68,1.21,0.113,107,0.9,14,9,0.76,8,100
117,Facebook,Awareness,0.044,2.05,2.47,0.055,438,0.55,7,0,0.75,45,180
118,Facebook,Traffic,0.045,0.9,2.9,0.04,277,0.86,12,1,0.5,36,147
119,Google,Traffic,0.021,1.29,2.87,0.087,278,0.86,12,7,0.49,44,142
120,Google,Conversions,0.017,1.64,0.79,0.114,187,0.62,19,7,0.22,6,119
121,Google,Traffic,0.022,1.75,1.54,0.079,418,0.79,17,1,0.8,30,206
122,Facebook,Awareness,0.029,1.67,2.49,0.114,476,0.73,11,6,0.43,20,194
123,Facebook,Awareness,0.026,1.94,1.02,0.045,416,0.63,18,1,0.93,36,206
124,TikTok,Conversions,0.031,0.97,1.88,0.058,475,0.54,12,4,0.48,36,194
125,TikTok,Awareness,0.05,1.36,2.09,0.02,107,0.74,7,1,0.22,32,75
126,Google,Traffic,0.041,2.13,1.31,0.107,65,0.81,6,7,0.69,45,65
127,Google,Conversions,0.027,1.16,0.52,0.071,166,0.58,15,0,0.59,10,116
128,Facebook,Conversions,0.049,2.07,1.11,0.03,65,0.6,4,0,0.65,20,60
129,Google,Traffic,0.044,2.65,1.71,0.036,123,0.82,1,0,0.52,29,74
130,TikTok,Conversions,0.038,2.48,0.84,0.101,347,0.78,0,7,0.34,34,127
131,TikTok,Awareness,0.037,1.54,1.29,0.091,332,0.71,17,2,0.5,7,171
132,TikTok,Awareness,0.042,2.64,0.54,0.111,71,0.64,9,3,0.94,46,78
133,TikTok,Traffic,0.023,2.35,1.33,0.058,265,0.52,12,9,0.84,24,132
134,TikTok,Traffic,0.048,1.7,1.19,0.067,437,0.83,13,3,0.82,20,201
135,Google,Traffic,0.026,1.56,2.3,0.04,289,0.58,10,5,0.34,18,130
136,Facebook,Traffic,0.05,1.54,1.47,0.083,158,0.54,1,6,0.86,26,77
137,TikTok,Awareness,0.029,0.73,1.95,0.117,197,0.77,1,0,0.86,11,101
138,Facebook,Awareness,0.043,0.91,2.02,0.071,231,0.75,14,8,0.68,29,132
139,TikTok,Traffic,0.025,1.72,1.65,0.059,485,0.79,12,6,0.57,46,204
140,TikTok,Conversions,0.04,2.35,1.09,0.079,227,0.52,1,8,0.22,39,82
141,Google,Traffic,0.012,1.21,0.86,0.099,115,0.52,7,7,0.38,35,68
142,Facebook,Conversions,0.013,2.92,2.41,0.103,412,0.59,11,7,0.47,36,171
143,Google,Conversions,0.018,0.69,2.45,0.068,221,0.84,16,0,0.58,17,143
144,Google,Awareness,0.048,1.84,2.84,0.024,495,0.78,4,3,0.32,49,185
145,Facebook,Conversions,0.025,1.64,2.61,0.109,74,0.76,9,6,0.91,7,79
146,Google,Awareness,0.017,2.36,1.61,0.059,168,0.72,15,8,0.79,32,117
147,Google,Awareness,0.039,1.7,0.67,0.07,310,0.54,9,0,0.35,33,138
148,Facebook,Conversions,0.042,1.43,2.41,0.076,107,0.74,12,4,0.9,25,98
149,Google,Awareness,0.017,1.49,2.49,0.057,61,0.83,1,8,0.73,15,52
150,TikTok,Traffic,0.048,1.0,2.63,0.04,455,0.68,16,2,0.62,46,207
151,Facebook,Awareness,0.047,1.8,2.66,0.046,221,0.9,16,3,0.97,6,149
152,TikTok,Awareness,0.044,1.79,2.53,0.052,466,0.94,0,2,0.25,41,170
153,TikTok,Traffic,0.015,2.62,2.49,0.044,381,0.73,2,9,0.91,22,150
154,Google,Awareness,0.029,2.79,2.44,0.064,158,0.64,7,5,0.26,11,84
155,TikTok,Conversions,0.017,2.33,1.43,0.046,379,0.94,0,9,0.4,30,140
156,Facebook,Awareness,0.017,1.17,2.89,0.057,87,0.78,17,3,0.46,31,98
157,Facebook,Conversions,0.044,1.28,2.69,0.117,340,0.9,10,1,0.24,6,157
158,Google,Traffic,0.046,0.73,1.54,0.03,73,0.57,14,5,0.43,38,77
159,Facebook,Traffic,0.019,0.92,2.6,0.065,190,0.73,10,6,0.66,46,111
160,TikTok,Conversions,0.018,1.74,0.92,0.049,189,0.62,0,5,0.51,11,80
161,TikTok,Awareness,0.016,0.72,1.77,0.116,432,0.53,4,0,0.57,21,166
162,TikTok,Awareness,0.011,1.07,1.64,0.091,433,0.53,12,9,0.84,39,183
163,TikTok,Traffic,0.017,1.29,1.18,0.108,61,0.55,7,4,0.75,36,63
164,Facebook,Traffic,0.022,2.24,1.15,0.11,399,0.79,15,4,0.96,16,196
165,Facebook,Traffic,0.031,1.76,0.54,0.05,336,0.64,1,5,0.75,25,132
166,Facebook,Awareness,0.019,2.16,2.25,0.059,140,0.85,14,9,0.83,35,110
167,Google,Awareness,0.019,0.86,2.98,0.026,244,0.94,9,9,0.94,10,133
168,Facebook,Awareness,0.019,1.69,2.68,0.113,121,0.57,18,5,0.52,48,103
169,TikTok,Traffic,0.012,2.64,1.18,0.042,262,0.55,12,1,0.24,21,128
170,Facebook,Conversions,0.049,1.18,1.08,0.104,489,0.52,19,4,0.86,9,222
171,Google,Awareness,0.026,2.63,0.57,0.089,286,0.62,8,0,0.84,43,141
172,Google,Awareness,0.012,1.8,1.35,0.093,444,0.63,12,8,0.72,11,188
173,Google,Conversions,0.018,1.95,1.85,0.074,319,0.61,2,8,0.62,49,123
174,Facebook,Conversions,0.011,0.97,2.45,0.04,198,0.86,19,6,0.25,16,131
175,Google,Conversions,0.047,2.74,1.59,0.102,151,0.75,2,4,0.74,21,83
176,Google,Conversions,0.038,2.68,2.14,0.1,254,0.53,13,6,0.67,7,132
177,Facebook,Awareness,0.021,0.88,1.25,0.111,333,0.9,11,7,0.43,22,155
178,Google,Conversions,0.034,2.21,1.83,0.041,62,0.57,11,3,0.3,19,66
179,Google,Traffic,0.048,1.02,2.65,0.096,143,0.74,15,0,0.64,17,115
180,Google,Conversions,0.045,1.6,2.88,0.06,314,0.66,10,6,0.37,35,140
181,Facebook,Traffic,0.036,2.98,1.11,0.082,118,0.95,2,7,0.81,12,78
182,Google,Conversions,0.035,1.29,2.84,0.067,359,0.7,10,5,0.32,22,155
183,Facebook,Traffic,0.03,2.64,0.69,0.076,357,0.61,3,0,0.91,41,151
184,Facebook,Conversions,0.042,0.87,0.66,0.057,58,0.66,4,8,0.63,42,51
185,Facebook,Traffic,0.022,0.81,1.01,0.081,435,0.64,7,2,0.76,46,180
186,TikTok,Traffic,0.041,1.76,2.4,0.113,284,0.7,9,0,0.45,32,137
187,Facebook,Traffic,0.024,2.49,2.96,0.06,472,0.51,0,6,0.79,25,166
188,Google,Conversions,0.017,1.4,1.58,0.076,332,0.72,19,5,0.39,42,171
189,Facebook,Traffic,0.029,0.54,2.68,0.022,429,0.78,0,6,0.28,47,151
190,TikTok,Awareness,0.033,1.32,1.56,0.03,479,0.72,7,3,0.22,17,184
191,Google,Traffic,0.033,1.11,1.15,0.099,348,0.92,9,0,0.7,23,168
192,Google,Traffic,0.029,0.63,0.61,0.077,246,0.74,1,6,0.44,29,101
193,Google,Conversions,0.021,2.05,1.66,0.078,429,0.57,11,9,0.55,7,175
194,Facebook,Awareness,0.047,1.34,1.65,0.025,484,0.84,15,0,0.48,29,217
195,Google,Awareness,0.013,1.19,2.87,0.089,342,0.86,15,5,0.42,48,169
196,TikTok,Conversions,0.019,2.53,2.06,0.067,483,0.58,0,7,0.53,43,165
197,Facebook,Conversions,0.038,1.36,1.34,0.082,192,0.59,14,0,0.37,37,117
198,TikTok,Conversions,0.019,0.83,2.34,0.029,432,0.94,15,5,0.68,5,203
199,Facebook,Traffic,0.026,2.43,2.18,0.091,319,0.65,15,6,0.72,39,161
200,Google,Traffic,0.031,2.03,2.92,0.06,444,0.81,3,7,0.72,34,172
201,TikTok,Traffic,0.027,2.29,2.06,0.111,296,0.9,4,0,0.66,14,139
202,TikTok,Awareness,0.016,1.26,1.19,0.086,386,0.64,12,0,0.73,28,179
203,TikTok,Awareness,0.041,0.82,2.03,0.09,399,0.92,0,9,0.51,11,148
204,Facebook,Conversions,0.031,1.39,2.99,0.116,101,0.65,12,4,0.24,28,80
205,TikTok,Awareness,0.044,1.15,1.61,0.088,139,0.56,9,6,0.85,13,92
206,Google,Awareness,0.014,0.54,2.0,0.056,66,0.61,14,1,0.79,15,87
207,Facebook,Traffic,0.048,1.58,2.21,0.097,411,0.52,17,9,0.43,9,181
208,Google,Awareness,0.045,2.14,2.71,0.079,165,0.52,1,0,0.84,37,84
209,Facebook,Conversions,0.037,0.62,1.23,0.047,344,0.75,17,2,0.34,24,173
210,Facebook,Traffic,0.021,0.92,1.26,0.045,362,0.86,0,6,0.94,25,147
211,TikTok,Conversions,0.014,1.02,0.88,0.044,163,0.7,9,1,0.26,44,96
212,Facebook,Awareness,0.023,1.65,2.87,0.066,237,0.9,18,7,0.86,40,153
213,Google,Awareness,0.045,1.97,2.09,0.104,444,0.93,10,4,0.66,17,195
214,TikTok,Traffic,0.034,1.52,1.32,0.065,355,0.94,17,1,0.89,11,194
215,Google,Traffic,0.032,2.88,1.37,0.055,368,0.69,4,1,0.22,16,144
216,Facebook,Awareness,0.048,2.71,2.09,0.115,309,0.64,10,5,0.27,18,137
217,Google,Conversions,0.023,1.87,2.89,0.058,392,0.65,5,2,0.86,23,164
218,Facebook,Traffic,0.038,1.16,1.95,0.077,306,0.88,2,8,0.52,9,125
219,Facebook,Conversions,0.028,1.15,1.11,0.027,69,0.68,14,4,0.4,14,80
220,Google,Conversions,0.022,1.75,2.97,0.035,225,0.94,15,0,0.35,39,140
221,TikTok,Conversions,0.044,0.96,2.1,0.021,193,0.59,18,8,0.46,33,121
222,Google,Traffic,0.017,1.65,1.07,0.073,458,0.7,7,8,0.44,48,176
223,Facebook,Awareness,0.038,2.2,2.97,0.059,482,0.74,2,4,0.71,8,181
224,Google,Traffic,0.015,2.28,2.35,0.03,405,0.83,9,3,0.85,32,182
225,Facebook,Awareness,0.024,2.72,2.18,0.082,184,0.88,8,9,0.92,28,111
226,TikTok,Awareness,0.015,0.78,0.81,0.035,93,0.77,11,9,0.71,44,83
227,Facebook,Traffic,0.022,1.83,0.53,0.042,213,0.78,2,1,0.88,6,108
228,Facebook,Awareness,0.011,2.07,0.63,0.077,81,0.89,2,7,0.54,10,59
229,Facebook,Traffic,0.021,1.37,2.26,0.094,69,0.83,3,5,0.43,28,56
230,TikTok,Awareness,0.012,1.75,1.84,0.065,380,0.61,4,9,0.27,41,138
231,TikTok,Conversions,0.039,2.61,2.44,0.035,426,0.87,17,1,0.94,12,214
232,Facebook,Awareness,0.044,2.31,2.71,0.105,153,0.69,2,5,0.27,27,72
233,Facebook,Awareness,0.029,2.3,2.53,0.028,114,0.88,5,4,0.56,34,80
234,TikTok,Traffic,0.021,1.96,2.6,0.111,494,0.63,5,0,0.81,27,195
235,Google,Awareness,0.017,1.58,1.22,0.037,223,0.53,18,2,0.65,10,138
236,Google,Conversions,0.033,1.87,1.47,0.099,89,0.61,3,5,0.47,6,56
237,Facebook,Conversions,0.024,2.72,2.21,0.036,297,0.83,5,2,0.83,9,141
238,Google,Conversions,0.045,1.35,2.84,0.065,71,0.93,16,8,0.27,39,86
239,Google,Traffic,0.012,1.13,2.65,0.035,321,0.74,8,6,0.75,16,147
240,Google,Traffic,0.024,0.97,2.7,0.092,345,0.8,6,4,0.41,17,146
241,TikTok,Traffic,0.047,0.98,2.3,0.02,299,0.81,16,8,0.64,8,158
242,Facebook,Traffic,0.046,2.78,1.2,0.096,448,0.93,11,8,0.35,33,188
243,Google,Traffic,0.026,0.97,0.86,0.097,296,0.76,7,8,0.45,17,130
244,Facebook,Conversions,0.029,0.98,1.72,0.054,413,0.81,17,6,0.53,5,195
245,Facebook,Conversions,0.024,2.24,3.0,0.032,144,0.68,1,4,0.4,21,70
246,Google,Traffic,0.02,2.91,1.03,0.067,308,0.62,2,4,0.89,14,129
247,Google,Awareness,0.018,1.65,2.61,0.053,113,0.78,2,5,0.86,24,74
248,Google,Awareness,0.03,0.72,2.87,0.097,91,0.51,14,1,0.67,31,90
249,Facebook,Conversions,0.021,1.35,2.85,0.065,441,0.65,10,2,0.39,47,182
250,TikTok,Awareness,0.049,2.87,2.08,0.065,437,0.71,3,8,0.81,43,168
251,Google,Traffic,0.048,1.76,2.73,0.064,231,0.9,17,6,0.41,37,141
252,TikTok,Traffic,0.044,0.67,2.79,0.079,120,0.7,19,2,0.72,9,116
253,Google,Traffic,0.013,0.92,1.2,0.113,134,0.6,15,1,0.65,20,107
254,Google,Traffic,0.047,2.16,1.94,0.108,338,0.53,12,1,0.66,38,159
255,Google,Traffic,0.02,2.21,2.16,0.119,361,0.87,0,6,0.93,24,147
256,Google,Awareness,0.031,2.39,2.77,0.034,170,0.68,17,9,0.88,9,122
257,Facebook,Conversions,0.017,1.6,1.78,0.109,177,0.74,11,6,0.25,14,101
258,Facebook,Traffic,0.025,2.71,0.52,0.046,483,0.86,13,1,0.26,9,207
259,Facebook,Awareness,0.039,1.66,1.96,0.032,60,0.89,1,2,0.7,25,59
260,Google,Awareness,0.022,2.32,2.55,0.046,434,0.75,19,9,0.79,12,207
261,Google,Conversions,0.05,2.43,2.53,0.037,260,0.77,2,9,0.51,23,107
262,TikTok,Traffic,0.02,1.15,2.56,0.108,65,0.59,7,2,0.53,13,63
263,TikTok,Conversions,0.028,1.84,2.66,0.035,439,0.58,14,3,0.34,6,187
264,Google,Conversions,0.019,0.81,2.9,0.107,186,0.52,5,0,0.3,19,89
265,Facebook,Traffic,0.032,2.36,2.38,0.064,479,0.78,15,4,0.46,17,209
266,Google,Conversions,0.035,2.18,1.19,0.058,320,0.58,3,5,0.43,42,124
267,Google,Traffic,0.021,2.54,1.11,0.101,222,0.54,13,4,0.27,8,116
268,Google,Conversions,0.034,0.77,2.05,0.075,90,0.7,6,7,0.94,9,74
269,Facebook,Awareness,0.01,1.68,0.84,0.083,143,0.77,10,0,0.54,41,101
270,Google,Traffic,0.014,2.8,0.66,0.021,173,0.88,14,0,0.64,12,126
271,Google,Conversions,0.019,2.29,2.4,0.068,157,0.75,15,0,0.57,7,118
272,Google,Traffic,0.023,2.91,1.1,0.084,229,0.54,7,4,0.79,21,114
273,Google,Traffic,0.018,0.59,2.88,0.083,256,0.76,15,5,0.64,29,144
274,Google,Awareness,0.032,0.5,1.55,0.04,357,0.6,8,3,0.34,24,148
275,TikTok,Conversions,0.044,2.26,2.13,0.05,491,0.62,1,2,0.37,39,173
276,Facebook,Conversions,0.037,2.69,1.06,0.03,269,0.63,19,3,0.35,44,151
277,Google,Traffic,0.049,1.54,0.55,0.101,320,0.71,1,5,0.95,21,133
278,Google,Conversions,0.032,1.13,0.73,0.083,443,0.87,19,9,0.33,40,204
279,Facebook,Conversions,0.034,1.02,0.67,0.057,358,0.64,8,4,0.93,17,161
280,Facebook,Traffic,0.036,1.52,0.74,0.043,52,0.66,13,5,0.73,42,77
281,Facebook,Awareness,0.042,0.86,2.43,0.109,70,0.56,5,3,0.8,47,63
282,Google,Conversions,0.04,2.1,1.19,0.025,290,0.78,12,4,0.68,19,150
283,TikTok,Awareness,0.024,2.68,0.74,0.078,216,0.73,9,2,0.44,8,115
284,Google,Conversions,0.026,2.76,0.79,0.091,289,0.68,3,8,0.83,37,123
285,Facebook,Traffic,0.012,0.76,2.46,0.073,226,0.58,16,9,0.86,13,133
286,Facebook,Awareness,0.013,1.04,2.01,0.108,149,0.75,8,6,0.37,8,88
287,Facebook,Conversions,0.043,1.82,2.85,0.032,163,0.55,1,2,0.94,22,84
288,Facebook,Traffic,0.019,2.44,2.74,0.081,473,0.94,8,9,0.26,13,186
289,Facebook,Conversions,0.042,1.18,1.47,0.02,114,0.84,12,5,0.95,34,103
290,Facebook,Traffic,0.021,1.92,1.05,0.062,439,0.62,14,1,0.74,32,199
291,Google,Conversions,0.026,2.12,2.16,0.046,497,0.77,2,6,0.86,30,188
292,Google,Conversions,0.034,2.85,2.6,0.034,235,0.74,5,6,0.52,8,109
293,TikTok,Awareness,0.049,0.53,2.51,0.086,371,0.83,18,7,0.34,14,181
294,Facebook,Awareness,0.027,1.92,2.22,0.021,331,0.83,8,2,0.57,8,153
295,Google,Conversions,0.013,2.16,2.42,0.057,389,0.65,13,3,0.3,25,171
296,Facebook,Conversions,0.04,1.78,2.25,0.102,374,0.52,3,5,0.23,13,134
297,Facebook,Traffic,0.013,0.56,0.76,0.023,402,0.71,2,5,0.73,5,156
298,TikTok,Traffic,0.03,1.84,2.54,0.08,52,0.72,13,2,0.28,5,73
299,Google,Traffic,0.033,2.62,2.75,0.071,403,0.59,10,2,0.7,40,175
300,Facebook,Awareness,0.034,0.97,2.86,0.108,264,0.63,19,1,0.49,16,154
301,Facebook,Conversions,0.035,3.0,1.87,0.057,54,0.68,1,9,0.75,13,45
302,TikTok,Traffic,0.045,2.22,1.16,0.093,246,0.53,11,5,0.51,41,122
303,Facebook,Traffic,0.012,2.37,0.55,0.082,308,0.8,1,9,0.47,47,119
304,Facebook,Traffic,0.023,1.22,1.65,0.03,170,0.67,7,0,0.96,20,107
